Category,Symptom
Neurological Symptoms,Hypoaesthesia
Neurological Symptoms,Injection site hypoaesthesia
Neurological Symptoms,Headache
Dermatologic Symptoms,Erythema
General Symptoms,Feeling hot
Uncategorized,Flushing
Neurological Symptoms,Dizziness
Cardiovascular Findings,Electrocardiogram normal
Dermatologic Symptoms,Hyperhidrosis
Laboratory Findings,Laboratory test normal
Uncategorized,Presyncope
Uncategorized,Dysgeusia
Dermatologic Symptoms,Oral pruritus
Neurological Symptoms,Paraesthesia
Neurological Symptoms,Paraesthesia oral
Uncategorized,Parosmia
Uncategorized,Sensory disturbance
Neurological Symptoms,Tremor
General Symptoms,Chest discomfort
Infectious Symptoms,Chills
Uncategorized,Defaecation urgency
Gastrointestinal Symptoms,Diarrhoea
Respiratory Symptoms,Dyspnoea
General Symptoms,Feeling abnormal
Musculoskeletal Symptoms,Chest pain
Uncategorized,Intensive care
Musculoskeletal Symptoms,Pain
Cardiovascular Findings,Blood pressure increased
Gastrointestinal Symptoms,Nausea
Ophthalmologic Symptoms,Visual impairment
ENT Symptoms,Ear discomfort
Uncategorized,Palpitations
Dermatologic Symptoms,Skin warm
ENT Symptoms,Throat tightness
Uncategorized,Inappropriate schedule of product administration
Dermatologic Symptoms,Eye pruritus
General Symptoms,Asthenia
General Symptoms,Fatigue
Cardiovascular Findings,Heart rate increased
Cardiovascular Findings,Hypertension
Uncategorized,Impaired driving ability
Musculoskeletal Symptoms,Limb discomfort
Uncategorized,Nervousness
Laboratory Findings,Blood glucose normal
Laboratory Findings,Blood test
Cardiovascular Findings,Pulse abnormal
Ophthalmologic Symptoms,Tunnel vision
Gastrointestinal Symptoms,Vomiting
Dermatologic Symptoms,Injection site pain
Musculoskeletal Symptoms,Pain in extremity
General Symptoms,Malaise
Musculoskeletal Symptoms,Lip swelling
Musculoskeletal Symptoms,Swelling face
General Symptoms,Feeling of body temperature change
General Symptoms,Pyrexia
Dermatologic Symptoms,Rash
Musculoskeletal Symptoms,Oropharyngeal pain
Dermatologic Symptoms,Cold sweat
Uncategorized,Condition aggravated
Psychiatric Symptoms,Panic attack
Gastrointestinal Symptoms,Abdominal pain upper
Gastrointestinal Symptoms,Decreased appetite
Dermatologic Symptoms,Injection site erythema
Gastrointestinal Symptoms,Retching
Dermatologic Symptoms,Injection site induration
Allergic and Immune Reactions,Local reaction
Allergic and Immune Reactions,Immediate post-injection reaction
Uncategorized,Impaired work ability
Neurological Symptoms,Vertigo
Musculoskeletal Symptoms,Joint swelling
Musculoskeletal Symptoms,Peripheral swelling
Dermatologic Symptoms,Pruritus
Uncategorized,Somnolence
Musculoskeletal Symptoms,Mobility decreased
Procedural and Device-Related Issues,Product administered at inappropriate site
Musculoskeletal Symptoms,Myalgia
Musculoskeletal Symptoms,Injected limb mobility decreased
Dermatologic Symptoms,Injection site oedema
Musculoskeletal Symptoms,Musculoskeletal chest pain
Uncategorized,Painful respiration
Cardiovascular Findings,Hypotension
Uncategorized,Pallor
Uncategorized,Disturbance in attention
Ophthalmologic Symptoms,Abnormal sensation in eye
Dermatologic Symptoms,Dry mouth
Psychiatric Symptoms,Euphoric mood
Musculoskeletal Symptoms,Periorbital swelling
Musculoskeletal Symptoms,Arthralgia
Dermatologic Symptoms,Injection site swelling
Dermatologic Symptoms,Injection site pruritus
Dermatologic Symptoms,Injection site bruising
Respiratory Symptoms,Cough
Procedural and Device-Related Issues,Vaccination site bruising
Procedural and Device-Related Issues,Vaccination site haemorrhage
Uncategorized,Wheelchair user
Cardiovascular Findings,Heart rate decreased
Dermatologic Symptoms,Rash maculo-papular
Infectious Symptoms,Influenza like illness
Ophthalmologic Symptoms,Eye movement disorder
Neurological Symptoms,Memory impairment
Neurological Symptoms,Unresponsive to stimuli
Gastrointestinal Symptoms,Dysphagia
Allergic and Immune Reactions,Hypersensitivity
Neurological Symptoms,Hypoaesthesia oral
Musculoskeletal Symptoms,Pharyngeal swelling
General Symptoms,Oropharyngeal discomfort
Neurological Symptoms,Pharyngeal hypoaesthesia
Respiratory Symptoms,Respiratory tract irritation
General Symptoms,Tongue discomfort
Uncategorized,Swollen tongue
Procedural and Device-Related Issues,Device connection issue
Uncategorized,Product design issue
Uncategorized,Product quality issue
Uncategorized,Syringe issue
General Symptoms,Hot flush
Neurological Symptoms,Migraine
Uncategorized,Circumstance or information capable of leading to medication error
Procedural and Device-Related Issues,Contraindicated product administered
Psychiatric Symptoms,Anxiety
Uncategorized,Fall
Neurological Symptoms,Seizure like phenomena
Respiratory Symptoms,Wheezing
Neurological Symptoms,Loss of consciousness
Cardiovascular Findings,Orthostatic hypotension
ENT Symptoms,Tinnitus
Dermatologic Symptoms,Injection site warmth
Uncategorized,Tearfulness
General Symptoms,Head discomfort
Uncategorized,Disorientation
Uncategorized,Lacrimation increased
ENT Symptoms,Throat irritation
Dermatologic Symptoms,Dry throat
Neurological Symptoms,Gait inability
Cardiovascular Findings,Tachycardia
Dermatologic Symptoms,Urticaria
Uncategorized,Oedema peripheral
Respiratory Symptoms,Respiratory tract congestion
Uncategorized,Atelectasis
Procedural and Device-Related Issues,Chest X-ray abnormal
Uncategorized,Computerised tomogram thorax normal
Uncategorized,Lung hyperinflation
Musculoskeletal Symptoms,Tenderness
Uncategorized,Anaesthesia oral
Neurological Symptoms,Dysarthria
Allergic and Immune Reactions,Angioedema
Dermatologic Symptoms,Rash pustular
Neurological Symptoms,Pharyngeal paraesthesia
Procedural and Device-Related Issues,Incorrect dose administered
General Symptoms,Body temperature increased
Uncategorized,Anosmia
Laboratory Findings,Influenza virus test
Laboratory Findings,SARS-CoV-2 test
Laboratory Findings,Streptococcus test
Procedural and Device-Related Issues,Chest X-ray normal
Uncategorized,Computerised tomogram normal
Uncategorized,Glassy eyes
Laboratory Findings,Visual tracking test abnormal
Gastrointestinal Symptoms,Abdominal pain
Gastrointestinal Symptoms,Bowel movement irregularity
Uncategorized,Exercise tolerance decreased
Uncategorized,Confusional state
Uncategorized,Slow response to stimuli
Uncategorized,Haematuria
Uncategorized,Neurological examination normal
Neurological Symptoms,Syncope
Uncategorized,Tonic clonic movements
Genitourinary Symptoms,Urinary assistance device user
Genitourinary Symptoms,Urinary tract infection
Dermatologic Symptoms,Injection site reaction
Musculoskeletal Symptoms,Muscle fatigue
Allergic and Immune Reactions,Anaphylactic reaction
Procedural and Device-Related Issues,Chest X-ray
Laboratory Findings,Laboratory test
Respiratory Symptoms,Respiratory rate increased
Uncategorized,Lymphadenopathy
Musculoskeletal Symptoms,Eye pain
Uncategorized,Rosacea
Dermatologic Symptoms,Rash erythematous
Musculoskeletal Symptoms,Back pain
Musculoskeletal Symptoms,Neck pain
Laboratory Findings,SARS-CoV-2 test negative
Psychiatric Symptoms,Mental status changes
Dermatologic Symptoms,Ear pruritus
Musculoskeletal Symptoms,Eye swelling
Ophthalmologic Symptoms,Ocular discomfort
Musculoskeletal Symptoms,Flank pain
General Symptoms,Feeling cold
Uncategorized,Incoherent
Cardiovascular Findings,Electrocardiogram abnormal
Cardiovascular Findings,Heart rate irregular
Cardiovascular Findings,Ventricular extrasystoles
Dermatologic Symptoms,Injection site rash
Psychiatric Symptoms,Poor quality sleep
Uncategorized,Activated partial thromboplastin time shortened
Uncategorized,Alanine aminotransferase normal
Uncategorized,Anion gap
Uncategorized,Aspartate aminotransferase normal
Uncategorized,Basophil count normal
Uncategorized,Basophil percentage decreased
Laboratory Findings,Blood albumin normal
